timestamps,open,high,low,close,volume,amount
2024-08-17,58915.96,59628.81,58799.53,59480.58,23.30964,1382152.9701982
2024-08-18,59492.08,60209.18,58603.3,58720.08,29.15937,1731898.5899041
2024-08-19,58698.78,59579.18,58000.0,59479.09,25.5888,1501740.5820625
2024-08-20,59500.89,61333.18,58600.0,59170.25,53.40748,3212051.1999482
2024-08-21,59169.84,61788.34,58863.68,61191.09,30.03006,1812898.6763516
2024-08-22,61190.98,61363.38,59689.26,60421.65,15.81746,958644.4813941
2024-08-23,60421.06,64900.0,60392.57,64020.9,45.76743,2867389.9352143
2024-08-24,64012.9,64453.27,63577.35,64114.27,19.7742,1265945.8238536
2024-08-25,64117.6,64995.32,63757.54,64250.24,9.2808,596052.5498371
2024-08-26,64264.6,64400.0,62836.95,62840.29,18.22041,1158081.6584445
2024-08-27,62840.29,63216.0,58300.0,59558.1,40.6765,2491125.3898457
2024-08-28,59527.27,60229.52,57974.92,59083.32,28.54832,1686350.0984205
2024-08-29,59082.82,61141.79,58748.88,59365.65,22.52311,1350879.5316967
2024-08-30,59365.62,59894.76,57700.01,59093.75,27.28534,1604189.2321144
2024-08-31,59138.38,59455.2,58761.61,58975.29,7.78041,459487.7600871
2024-09-01,58975.27,59032.07,57250.0,57362.31,17.64663,1025545.3043421
2024-09-02,57410.3,59362.82,57300.0,59137.23,19.57341,1141304.2523127
2024-09-03,59137.23,59767.94,57500.0,57500.0,20.78069,1212708.3603402
2024-09-04,57540.0,58521.24,55900.1,57949.95,34.03367,1940594.625655
2024-09-05,57950.0,58251.17,55800.0,56144.58,18.05303,1023242.0496673
2024-09-06,56205.32,56956.38,52635.18,53944.13,62.77745,3427301.2301772
2024-09-07,53985.43,54848.89,53791.6,54137.87,25.9983,1414035.5212481
2024-09-08,54171.5,55250.0,53648.37,54810.82,19.8121,1078470.3266385
2024-09-09,54877.2,58000.0,54601.32,57036.68,33.65932,1894820.1905158
2024-09-10,57007.79,57881.16,56425.6,57668.97,13.46267,768480.4335548
2024-09-11,57596.22,57949.44,55661.03,57497.95,30.64867,1747464.8146865
2024-09-12,57497.88,58445.58,57400.57,58067.31,33.72888,1955807.7190689
2024-09-13,58067.31,60500.01,57636.86,60433.9,23.79421,1406900.8028148
2024-09-14,60442.97,60489.0,59412.0,59999.97,13.87173,831879.2553279
2024-09-15,59951.11,60229.47,58690.41,59114.86,25.59568,1528453.9422082
2024-09-16,59082.3,59157.89,57504.72,58274.77,23.78607,1387000.3004105
2024-09-17,58260.63,61235.36,57700.0,60223.65,42.68394,2577594.6376683
2024-09-18,60230.18,61600.0,59346.61,61480.81,39.53921,2385156.36474
2024-09-19,61480.86,63828.39,61480.83,62852.8,53.11906,3317766.9065167
2024-09-20,62855.79,64077.58,62371.32,63163.2,31.95767,2024020.52112
2024-09-21,63163.2,63500.0,62744.21,63410.39,9.73374,614098.5239528
2024-09-22,63355.57,63864.64,62397.92,63599.71,18.77422,1180774.252894
2024-09-23,63600.0,64691.96,62617.72,63300.53,26.74522,1705607.9261268
2024-09-24,63311.77,64631.67,62630.6,64257.06,27.57111,1756449.0615286
2024-09-25,64287.82,64759.28,62950.77,63154.6,15.07354,959277.1813247
2024-09-26,63154.54,65731.19,62665.45,65051.65,33.80947,2186098.9835935
2024-09-27,65122.4,66398.77,64848.0,65785.7,18.55198,1218938.1806896
2024-09-28,65785.53,66229.72,65406.86,65908.11,8.96875,589632.0372699
2024-09-29,65906.83,66026.04,65419.19,65670.63,5.99992,394792.0902089
2024-09-30,65571.02,65645.89,62904.0,63291.96,28.97339,1854321.9053526
2024-10-01,63292.04,64077.58,60515.92,60999.49,48.54306,3009643.910653
2024-10-02,60974.39,62318.65,60000.0,60630.7,25.06264,1531189.5017407
2024-10-03,60731.27,61463.8,59901.67,60742.89,13.86032,841241.7526583
2024-10-04,60797.01,62379.71,60492.87,62042.3,19.36932,1193517.5143153
2024-10-05,62042.3,62196.37,61655.7,61983.49,5.92717,367330.8540488
2024-10-06,61983.49,62825.4,61631.9,62807.02,11.08624,691584.4436426
2024-10-07,62757.67,64329.1,62159.31,62209.41,28.75472,1820350.6319071
2024-10-08,62209.48,63171.42,61897.0,62195.18,22.16203,1385069.9040409
2024-10-09,62194.21,62538.8,60350.0,60601.4,18.01261,1107094.8682451
2024-10-10,60681.93,61292.4,58947.8,60240.36,17.44876,1047800.8523319
2024-10-11,60241.25,63167.59,60097.95,62335.85,32.24241,1999439.7944806
2024-10-12,62335.85,63437.6,62331.34,63138.19,12.2011,768212.2658555
2024-10-13,63170.0,63183.8,62072.94,62857.8,7.34499,459438.8306376
2024-10-14,62797.43,66289.4,62459.21,66022.65,41.97345,2733125.7524947
2024-10-15,66111.08,67754.48,64851.43,67050.8,38.56613,2553526.2448752
2024-10-16,67073.42,68252.0,66734.78,67602.34,23.27619,1573050.510249
2024-10-17,67602.34,67900.0,66662.69,67438.97,19.75877,1328034.7455507
2024-10-18,67438.44,68970.06,67168.89,68367.24,24.48331,1672201.7990513
2024-10-19,68367.37,68638.91,68045.52,68325.14,4.71292,321602.929811
2024-10-20,68313.8,69100.0,68100.01,69029.51,11.78219,809419.5449864
2024-10-21,68929.97,69332.17,66850.0,67157.89,33.20545,2252367.0981889
2024-10-22,67067.1,67801.05,66591.64,67317.44,25.76973,1729547.0439978
2024-10-23,67443.85,67461.49,65295.86,66669.22,23.35138,1545490.342993
2024-10-24,66741.21,68798.03,66519.63,68214.69,39.35292,2662663.7395769
2024-10-25,68123.67,68500.0,65800.0,66575.14,36.16697,2431402.6887
2024-10-26,66575.5,67414.82,66505.42,67148.24,5.82602,390552.108601
2024-10-27,67085.03,68193.22,66923.38,67900.0,12.82663,867069.0977315
2024-10-28,67900.0,70000.0,67602.81,69903.53,48.18969,3325543.4881247
2024-10-29,69721.94,73272.49,69641.89,72671.11,92.31967,6627421.686736
2024-10-30,72645.72,72910.61,71440.71,72475.12,32.53486,2343204.2399641
2024-10-31,72472.22,72643.28,69800.0,70395.71,28.09572,1991169.8704971
2024-11-01,70395.53,71576.76,68860.46,69489.17,34.26992,2396881.1492152
2024-11-02,69564.42,69892.13,69068.71,69330.2,11.17855,774903.3513936
2024-11-03,69330.2,69330.2,67516.94,68724.23,36.05631,2466664.934451
2024-11-04,68638.78,69384.04,67000.0,67869.17,21.58528,1470572.2252236
2024-11-05,67770.24,70500.0,67462.82,69303.4,26.58245,1833927.8187188
2024-11-06,69449.54,76302.6,69449.46,75656.18,139.74061,10336655.7814216
2024-11-07,75654.5,76844.8,74405.07,75920.18,44.33173,3350498.3999647
2024-11-08,75918.16,77151.99,75600.0,76498.17,21.9,1669385.6963209
2024-11-09,76498.15,76921.88,75700.0,76640.71,19.4063,1480140.4762531
2024-11-10,76760.53,81497.77,76508.4,80452.94,88.327566,7019041.8014865
2024-11-11,80429.87,89481.98,80210.58,88577.48,152.60364,12950879.7939
2024-11-12,88650.17,89884.92,83762.24,88105.48,146.8935,12847614.0377841
2024-11-13,88074.77,93225.58,86200.0,90460.0,99.57222,8978015.219056
2024-11-14,90466.06,91708.3,86735.79,87313.65,65.64509,5827330.7249023
2024-11-15,87318.83,91767.69,87067.4,91038.84,56.9823,5095232.2476649
2024-11-16,90943.75,91779.81,90100.0,90592.63,28.74992,2617535.8215436
2024-11-17,90407.34,91410.39,88750.0,89792.0,20.03041,1805632.2864911
2024-11-18,89800.0,92520.46,89457.25,90385.23,50.57061,4598845.5605252
2024-11-19,90596.96,93797.13,90385.07,92200.0,53.75206,4957150.0261149
