timestamps,open,high,low,close,volume,amount
2024-08-17,0.10018,0.10352,0.10006,0.10271,703191.0,70998.67185
2024-08-18,0.10253,0.10432,0.10008,0.10008,1708349.0,175529.62826
2024-08-19,0.1,0.10182,0.09866,0.10141,1293704.0,129537.74062
2024-08-20,0.10137,0.10557,0.10112,0.10293,1624182.0,168805.65206
2024-08-21,0.10297,0.108,0.10222,0.10616,1149643.0,120519.49676
2024-08-22,0.10626,0.10678,0.1041,0.10537,851423.0,89763.36995
2024-08-23,0.10532,0.11532,0.10532,0.11278,2050033.0,226926.83077
2024-08-24,0.11296,0.11492,0.11091,0.11256,1931614.0,218450.91022
2024-08-25,0.11244,0.11276,0.108,0.10956,1880134.0,208279.85939
2024-08-26,0.10997,0.11031,0.10452,0.10526,1577907.0,170837.34709
2024-08-27,0.10522,0.10642,0.09662,0.09885,1687179.0,173576.80774
2024-08-28,0.0989,0.10182,0.09694,0.09966,1307455.0,129473.65681
2024-08-29,0.09966,0.10251,0.09833,0.10045,1470959.0,147403.11777
2024-08-30,0.10016,0.10291,0.09712,0.10199,1372926.0,138058.97354
2024-08-31,0.10168,0.1023,0.10031,0.10123,606527.0,61478.35222
2024-09-01,0.10123,0.10123,0.09404,0.09515,708368.0,69339.05975
2024-09-02,0.09506,0.09974,0.09417,0.09913,627595.0,60908.1848
2024-09-03,0.09897,0.10069,0.0964,0.09668,743959.0,72989.44522
2024-09-04,0.09675,0.09935,0.09202,0.0979,1252705.0,119996.18852
2024-09-05,0.09801,0.09904,0.09608,0.09829,1122054.0,110060.24211
2024-09-06,0.09827,0.09927,0.08908,0.09257,2176174.0,202704.39955
2024-09-07,0.09246,0.09563,0.09182,0.09528,961245.0,90706.07751
2024-09-08,0.09532,0.09685,0.0848,0.09589,1880349.0,178927.59813
2024-09-09,0.09607,0.1048,0.09575,0.10365,2470519.0,249493.1462
2024-09-10,0.10354,0.10437,0.10163,0.10256,1557330.0,160152.74945
2024-09-11,0.10255,0.103,0.09789,0.10142,1019826.0,102089.77894
2024-09-12,0.10143,0.10325,0.10057,0.10279,1138891.0,116306.38651
2024-09-13,0.10275,0.10835,0.10187,0.10695,2631657.0,279193.6179
2024-09-14,0.10682,0.10743,0.10441,0.10533,538154.0,57096.26445
2024-09-15,0.10544,0.10628,0.10222,0.10285,977865.0,102660.78233
2024-09-16,0.10278,0.10291,0.09844,0.09981,552261.0,55624.9927
2024-09-17,0.09975,0.10251,0.09876,0.10107,798128.0,80794.50026
2024-09-18,0.10091,0.10362,0.09942,0.10348,1180500.0,119394.84282
2024-09-19,0.1037,0.10704,0.10344,0.1048,3270889.0,344872.40414
2024-09-20,0.10478,0.10736,0.10364,0.10557,1731152.0,182446.09143
2024-09-21,0.10515,0.11039,0.10401,0.10985,938804.0,101608.26193
2024-09-22,0.10973,0.10974,0.10391,0.10614,1258133.0,134911.13088
2024-09-23,0.10607,0.10911,0.10425,0.10833,808465.0,86667.97534
2024-09-24,0.10809,0.11048,0.10691,0.10962,770383.0,83761.95312
2024-09-25,0.10997,0.11104,0.10808,0.10854,1076255.0,117647.68527
2024-09-26,0.10866,0.12026,0.10645,0.11798,6477638.0,746163.51506
2024-09-27,0.11798,0.12856,0.11703,0.12356,4186706.0,516690.60322
2024-09-28,0.12353,0.13152,0.12023,0.12829,3152520.0,403013.84973
2024-09-29,0.12801,0.13022,0.12449,0.12449,1777934.0,226245.81746
