timestamps,open,high,low,close,volume,amount
2024-08-17,2591.18,2624.26,2586.93,2612.18,130.3086,339808.38365
2024-08-18,2613.63,2684.07,2595.86,2612.44,190.4817,502544.064242
2024-08-19,2611.66,2647.32,2565.44,2636.0,128.0882,334565.282897
2024-08-20,2636.0,2694.2,2556.08,2573.3,243.7964,640640.829878
2024-08-21,2574.3,2662.58,2537.84,2631.39,187.4742,486751.343717
2024-08-22,2631.36,2641.71,2585.78,2620.53,102.6591,268333.695873
2024-08-23,2622.41,2798.19,2620.89,2762.0,240.7762,653011.03913
2024-08-24,2762.0,2819.4,2733.6,2766.63,209.7122,583494.263939
2024-08-25,2767.64,2791.52,2735.56,2747.35,80.2529,221456.998584
2024-08-26,2747.36,2762.51,2667.78,2682.79,69.1532,187830.803761
2024-08-27,2682.48,2698.5,2404.35,2456.47,331.7764,843753.031136
2024-08-28,2452.55,2553.66,2422.08,2526.82,221.1633,551198.180661
2024-08-29,2531.48,2593.47,2505.42,2527.55,113.6293,288853.690312
2024-08-30,2526.45,2551.03,2434.79,2528.03,144.4679,361000.172209
2024-08-31,2525.36,2532.34,2493.3,2513.17,56.7846,142991.66571
2024-09-01,2513.66,2515.79,2401.1,2429.64,219.9537,543017.497996
2024-09-02,2426.59,2563.0,2426.59,2539.23,125.5994,314688.903607
2024-09-03,2537.09,2553.6,2421.13,2426.44,135.7685,336942.564679
2024-09-04,2427.7,2487.5,2309.32,2447.9,268.1334,642037.369125
2024-09-05,2447.92,2463.58,2350.0,2369.49,159.9787,382931.333257
2024-09-06,2369.45,2407.8,2151.25,2224.95,378.0032,862583.54397
2024-09-07,2224.75,2311.22,2221.9,2278.74,125.2389,284317.300349
2024-09-08,2276.0,2331.53,2246.18,2295.18,193.4812,441242.15742
2024-09-09,2297.36,2379.11,2274.75,2356.06,354.9884,827437.850258
2024-09-10,2358.03,2395.0,2320.9,2388.37,369.3748,868314.092014
2024-09-11,2389.01,2389.01,2278.8,2338.2,253.6507,591784.786288
2024-09-12,2339.43,2389.35,2316.52,2359.18,198.4834,467177.797696
2024-09-13,2361.9,2454.61,2339.32,2436.84,225.333,538656.377969
2024-09-14,2439.98,2439.98,2381.11,2417.22,124.195,300173.811094
2024-09-15,2416.94,2429.65,2287.41,2319.1,279.5025,663329.063495
2024-09-16,2315.93,2333.03,2253.04,2295.69,242.0616,553450.587245
2024-09-17,2294.58,2399.46,2264.2,2339.86,262.277,615271.715308
2024-09-18,2338.94,2374.54,2277.27,2367.82,396.5549,919481.155903
2024-09-19,2368.87,2492.8,2368.87,2460.06,442.6462,1076048.922873
2024-09-20,2460.46,2571.47,2436.24,2559.52,457.8711,1159162.212539
2024-09-21,2562.2,2621.16,2531.62,2614.0,162.2234,415850.07531
2024-09-22,2614.43,2631.4,2526.4,2582.93,171.4258,442985.496515
2024-09-23,2580.17,2701.0,2541.25,2646.91,296.8912,785780.734054
2024-09-24,2649.0,2669.5,2590.0,2653.98,317.7596,835717.914312
2024-09-25,2651.33,2671.26,2556.63,2576.96,175.3097,456595.671571
2024-09-26,2577.04,2664.69,2558.56,2632.69,298.4704,784986.971555
2024-09-27,2631.94,2725.69,2616.59,2695.0,138.7252,371716.654406
2024-09-28,2695.0,2703.87,2650.88,2675.6,82.0516,219660.312315
2024-09-29,2677.03,2682.81,2634.72,2657.77,86.5762,229936.524393
2024-09-30,2657.74,2660.52,2576.77,2602.58,217.6521,568422.468351
2024-10-01,2601.59,2656.12,2426.01,2453.73,421.5524,1063715.844867
2024-10-02,2453.73,2500.06,2360.0,2368.27,220.1473,539216.53476
2024-10-03,2368.48,2407.02,2316.52,2351.45,124.335,292770.672866
2024-10-04,2351.51,2440.03,2344.3,2414.82,88.2379,211502.593621
2024-10-05,2415.1,2427.88,2390.46,2409.59,87.6111,211179.101901
2024-10-06,2412.61,2452.82,2405.36,2437.51,71.4392,173767.965002
2024-10-07,2437.52,2518.28,2406.44,2422.18,264.2053,653529.538249
2024-10-08,2422.17,2465.66,2402.94,2441.67,128.2935,312423.097868
2024-10-09,2441.67,2471.76,2351.87,2368.1,133.3565,322778.543724
2024-10-10,2371.86,2419.11,2332.21,2384.36,128.9592,306751.457161
2024-10-11,2384.99,2467.66,2381.85,2436.97,151.7271,370685.20107
2024-10-12,2439.4,2484.85,2432.7,2471.83,180.4791,444934.512696
2024-10-13,2471.81,2479.95,2437.2,2469.18,55.6201,136893.154941
