timestamps,open,high,low,close,volume,amount
2025-08-23 12:00:00,198.15,204.95,198.1,204.67,634112.199,128519647.88788
2025-08-23 13:00:00,204.66,208.62,204.35,207.54,746333.836,154368143.97642
2025-08-23 14:00:00,207.54,207.89,205.74,206.54,410750.6,84887369.49402
2025-08-23 15:00:00,206.53,207.3,204.92,205.18,281167.508,57872986.42465
2025-08-23 16:00:00,205.18,205.66,202.15,203.82,510550.063,103912156.5368
2025-08-23 17:00:00,203.82,204.7,203.2,204.47,127415.816,25981048.18329
2025-08-23 18:00:00,204.47,204.71,201.8,201.97,143095.876,29058209.19078
2025-08-23 19:00:00,201.98,203.02,201.53,201.98,94102.188,19042741.20268
2025-08-23 20:00:00,201.99,203.19,201.08,201.99,102077.01,20656646.18127
2025-08-23 21:00:00,202.0,202.46,200.58,201.49,172846.423,34822242.90929
2025-08-23 22:00:00,201.5,203.47,200.97,202.72,147944.967,29955726.31202
2025-08-23 23:00:00,202.72,203.8,202.43,202.58,202706.266,41181270.84262
2025-08-24 00:00:00,202.57,203.58,202.2,203.26,71549.553,14520052.15085
2025-08-24 01:00:00,203.25,203.77,202.27,203.26,91472.211,18589477.43718
2025-08-24 02:00:00,203.26,204.35,203.23,204.0,75303.231,15351454.94194
2025-08-24 03:00:00,204.0,204.57,203.78,204.09,58979.088,12039572.28073
2025-08-24 04:00:00,204.08,204.26,203.23,203.77,53030.523,10799099.42428
2025-08-24 05:00:00,203.77,204.09,203.03,203.08,40694.129,8284770.14354
2025-08-24 06:00:00,203.08,203.64,202.8,203.52,30631.056,6226295.70625
2025-08-24 07:00:00,203.53,204.86,203.53,204.14,58260.176,11904113.69883
2025-08-24 08:00:00,204.15,206.86,204.14,206.13,164232.865,33771656.48061
2025-08-24 09:00:00,206.12,208.85,204.96,208.13,327499.255,67872089.42969
2025-08-24 10:00:00,208.13,211.99,207.49,208.76,601739.176,126248053.35517
2025-08-24 11:00:00,208.76,209.41,207.21,209.05,198695.804,41397814.2192
2025-08-24 12:00:00,209.06,210.7,208.4,210.67,245038.297,51354417.19078
2025-08-24 13:00:00,210.66,210.76,208.1,208.57,269918.225,56556072.28098
2025-08-24 14:00:00,208.58,208.87,207.05,207.37,193451.578,40235783.95279
2025-08-24 15:00:00,207.37,208.24,206.6,206.66,167982.399,34841284.0495
2025-08-24 16:00:00,206.67,208.22,206.11,208.15,131792.857,27327631.89208
2025-08-24 17:00:00,208.15,209.0,207.63,208.18,125376.37,26119169.96596
2025-08-24 18:00:00,208.19,208.25,204.5,204.82,333279.402,68591244.08618
2025-08-24 19:00:00,204.81,205.35,203.41,204.48,229071.381,46774143.35868
2025-08-24 20:00:00,204.48,204.92,203.57,204.37,105051.472,21458231.99169
2025-08-24 21:00:00,204.37,205.67,204.22,204.73,144903.816,29712490.91367
2025-08-24 22:00:00,204.73,206.46,204.0,206.08,175539.165,36047729.26115
2025-08-24 23:00:00,206.07,209.35,205.38,205.62,424375.954,88100836.10447
2025-08-25 00:00:00,205.62,207.32,205.53,206.61,202796.354,41849120.35187
2025-08-25 01:00:00,206.61,209.78,206.5,209.35,245642.11,51164813.68947
2025-08-25 02:00:00,209.35,211.97,208.82,211.23,468356.079,98730839.94867
2025-08-25 03:00:00,211.23,211.89,201.44,205.01,1052338.621,216426525.00254
2025-08-25 04:00:00,205.01,205.36,201.09,203.63,577291.15,117427392.27635
2025-08-25 05:00:00,203.64,205.66,202.23,204.4,270808.587,55246922.98236
2025-08-25 06:00:00,204.41,205.51,201.38,205.09,273043.165,55515250.53091
2025-08-25 07:00:00,205.09,207.15,204.71,205.98,237425.156,48962419.53088
2025-08-25 08:00:00,205.99,208.19,202.23,203.49,352879.723,72444635.64555
2025-08-25 09:00:00,203.49,208.9,203.44,206.95,279382.482,57737668.69026
2025-08-25 10:00:00,206.95,213.6,206.69,212.55,624502.256,132185680.66957
2025-08-25 11:00:00,212.55,212.98,208.8,209.24,269090.194,56666419.00214
2025-08-25 12:00:00,209.24,209.71,206.77,207.32,301648.714,62702275.7996
2025-08-25 13:00:00,207.33,208.0,203.39,203.71,309592.471,63559614.69545
2025-08-25 14:00:00,203.71,204.72,201.7,201.93,368246.635,74805308.0132
2025-08-25 15:00:00,201.94,204.43,198.69,199.82,564457.998,113886863.01594
2025-08-25 16:00:00,199.81,200.8,198.11,199.94,378268.889,75472368.30993
2025-08-25 17:00:00,199.93,200.23,198.19,199.47,261203.631,52001121.94458
2025-08-25 18:00:00,199.47,199.47,195.0,195.87,410148.404,80630631.31787
2025-08-25 19:00:00,195.87,197.55,195.44,197.55,257946.332,50680333.48488
2025-08-25 20:00:00,197.54,198.51,196.78,198.0,266297.923,52626805.46448
2025-08-25 21:00:00,198.0,198.47,195.56,198.24,313383.872,61787834.69577
2025-08-25 22:00:00,198.23,199.5,196.86,198.31,379533.273,75299211.91283
2025-08-25 23:00:00,198.3,198.54,196.09,196.56,204754.94,40423360.449
2025-08-26 00:00:00,196.57,198.36,195.61,196.45,140836.978,27758109.29613
2025-08-26 01:00:00,196.45,197.36,195.15,196.69,122193.614,23983706.51395
2025-08-26 02:00:00,196.7,197.84,196.11,196.46,102575.368,20215717.01756
2025-08-26 03:00:00,196.46,196.49,190.98,191.47,555974.515,107443190.10727
2025-08-26 04:00:00,191.47,192.12,186.28,186.29,704037.357,133141212.79564
2025-08-26 05:00:00,186.3,188.43,185.99,186.41,339019.55,63433941.13605
2025-08-26 06:00:00,186.4,188.52,185.33,187.03,227919.207,42620450.56925
2025-08-26 07:00:00,187.02,187.6,185.69,187.2,219206.427,40912234.89467
2025-08-26 08:00:00,187.19,188.66,185.58,186.29,291231.332,54481460.07658
2025-08-26 09:00:00,186.3,188.97,185.66,188.22,307779.224,57748574.01544
2025-08-26 10:00:00,188.22,189.29,186.88,187.51,265194.327,49931759.72733
2025-08-26 11:00:00,187.51,187.97,186.41,186.9,168205.805,31491894.26218
2025-08-26 12:00:00,186.9,188.5,186.9,187.89,143078.913,26857416.55129
2025-08-26 13:00:00,187.89,189.59,187.87,188.75,124169.336,23451795.56329
2025-08-26 14:00:00,188.74,189.75,187.38,187.93,148897.112,28066346.7727
2025-08-26 15:00:00,187.92,189.92,187.21,188.92,179224.56,33821776.07473
2025-08-26 16:00:00,188.92,190.37,187.98,188.71,216557.239,40914730.67121
2025-08-26 17:00:00,188.7,189.29,187.5,188.02,150312.521,28299469.34114
2025-08-26 18:00:00,188.02,188.96,187.81,188.62,90928.727,17130578.77015
2025-08-26 19:00:00,188.63,189.09,186.67,187.97,136666.368,25638487.98125
2025-08-26 20:00:00,187.98,192.32,187.18,190.54,320829.555,61037055.63507
2025-08-26 21:00:00,190.54,191.06,187.71,189.4,375909.091,71195257.07452
2025-08-26 22:00:00,189.41,191.81,188.42,191.52,288032.055,54739424.63777
2025-08-26 23:00:00,191.52,192.55,189.95,190.77,194434.185,37191384.03267
2025-08-27 00:00:00,190.76,193.74,190.58,193.65,216507.51,41595056.8602
2025-08-27 01:00:00,193.64,194.25,192.25,193.72,222204.334,42968136.98739
2025-08-27 02:00:00,193.72,195.37,193.51,194.86,135372.123,26327741.94271
2025-08-27 03:00:00,194.85,197.51,194.3,197.43,178987.649,35096417.42644
2025-08-27 04:00:00,197.43,197.74,195.91,196.35,175844.118,34623270.01193
2025-08-27 05:00:00,196.34,196.87,195.37,196.79,125748.651,24643513.20866
2025-08-27 06:00:00,196.79,197.9,195.76,196.76,151483.95,29800144.45328
2025-08-27 07:00:00,196.75,198.1,195.59,195.86,126820.837,24960664.35883
2025-08-27 08:00:00,195.85,196.24,194.42,194.63,119314.827,23292639.3955
2025-08-27 09:00:00,194.64,196.76,193.78,196.26,151725.288,29597552.87821
2025-08-27 10:00:00,196.27,199.75,195.59,198.29,310121.462,61548644.08246
2025-08-27 11:00:00,198.28,202.81,196.9,201.92,328547.683,65772593.77344
2025-08-27 12:00:00,201.91,205.7,201.68,205.17,631797.142,129110166.62844
2025-08-27 13:00:00,205.18,205.35,202.51,202.87,295032.946,60081352.97575
2025-08-27 14:00:00,202.88,204.17,201.91,202.24,271395.712,55086369.89672
2025-08-27 15:00:00,202.25,202.73,200.81,202.43,307586.752,62038278.99276
2025-08-27 16:00:00,202.44,203.66,201.48,203.49,208268.865,42152920.99572
2025-08-27 17:00:00,203.48,205.14,203.08,203.91,228998.687,46747196.24265
2025-08-27 18:00:00,203.91,205.38,203.28,204.09,235929.284,48212318.96747
2025-08-27 19:00:00,204.1,205.38,204.09,205.01,140351.517,28750888.59815
2025-08-27 20:00:00,205.01,205.65,203.18,204.64,235124.95,48019189.3193
2025-08-27 21:00:00,204.63,205.98,202.62,204.44,314931.389,64340532.16947
2025-08-27 22:00:00,204.44,208.0,203.36,206.72,451808.831,93250594.24215
2025-08-27 23:00:00,206.73,209.4,206.26,208.66,437126.296,90804151.86023
2025-08-28 00:00:00,208.66,209.09,206.59,207.94,309223.402,64339229.08973
2025-08-28 01:00:00,207.94,210.0,207.42,209.18,325996.92,68098345.25722
2025-08-28 02:00:00,209.18,212.08,208.21,208.36,429611.011,90452476.24636
2025-08-28 03:00:00,208.36,209.3,205.95,206.4,381710.798,79076193.02083
2025-08-28 04:00:00,206.4,209.49,202.95,208.58,1105917.213,227694873.70679
2025-08-28 05:00:00,208.58,208.78,204.82,205.61,230784.385,47697142.84345
2025-08-28 06:00:00,205.61,205.73,203.41,204.36,237504.404,48565086.89489
2025-08-28 07:00:00,204.35,205.36,202.57,202.95,146330.39,29814882.2052
2025-08-28 08:00:00,202.95,205.11,201.72,203.93,299132.206,60841612.32176
2025-08-28 09:00:00,203.93,206.43,203.15,205.91,234736.007,48089608.28507
2025-08-28 10:00:00,205.91,207.87,205.3,206.24,175234.394,36190642.82145
2025-08-28 11:00:00,206.25,208.35,206.05,208.15,139736.63,28972761.36029
2025-08-28 12:00:00,208.16,212.55,207.47,212.08,451679.002,95143139.44026
2025-08-28 13:00:00,212.08,213.17,210.74,211.63,436655.759,92471701.68426
2025-08-28 14:00:00,211.64,211.89,209.71,211.67,245763.114,51775097.75305
2025-08-28 15:00:00,211.67,213.33,210.51,213.11,238525.327,50522435.9696
2025-08-28 16:00:00,213.11,216.5,213.06,214.24,754043.658,162055052.85817
2025-08-28 17:00:00,214.23,214.3,211.32,211.6,379181.676,80647311.94483
2025-08-28 18:00:00,211.6,213.94,211.07,213.94,220495.96,46890884.94771
2025-08-28 19:00:00,213.94,213.97,212.4,213.14,153519.003,32715777.8567
2025-08-28 20:00:00,213.15,214.31,211.97,213.13,268649.091,57301214.95575
2025-08-28 21:00:00,213.13,216.89,212.16,212.74,690701.977,148371281.57747
2025-08-28 22:00:00,212.74,216.0,211.66,215.64,415761.547,89035994.32748
2025-08-28 23:00:00,215.64,216.07,210.2,211.06,500514.241,106320512.34312
2025-08-29 00:00:00,211.06,214.0,207.17,207.43,410753.368,86744003.45849
2025-08-29 01:00:00,207.43,210.67,207.28,210.41,253008.081,52946384.7193
2025-08-29 02:00:00,210.4,212.75,209.5,212.05,152660.148,32237623.59737
2025-08-29 03:00:00,212.06,213.03,209.79,209.94,162796.307,34392639.33297
2025-08-29 04:00:00,209.95,213.64,209.64,213.21,167437.166,35491870.88391
2025-08-29 05:00:00,213.22,213.94,211.9,213.71,137097.001,29191826.83333
2025-08-29 06:00:00,213.71,215.73,213.55,214.22,189778.202,40713582.39959
