timestamps,open,high,low,close,volume,amount
2024-08-17,0.5639,0.5704,0.5605,0.5657,118193.0,66700.3708
2024-08-18,0.5658,0.583,0.5638,0.564,189793.0,108545.3984
2024-08-19,0.5635,0.6079,0.5613,0.598,971285.0,572095.7885
2024-08-20,0.5984,0.6147,0.5877,0.5946,409446.0,246501.0413
2024-08-21,0.5931,0.6047,0.5853,0.6001,302005.0,180303.3504
2024-08-22,0.6002,0.6037,0.593,0.5979,109381.0,65572.5649
2024-08-23,0.5973,0.6155,0.5917,0.611,492906.0,298088.6823
2024-08-24,0.6111,0.6304,0.6049,0.6129,342177.0,212568.7884
2024-08-25,0.6124,0.613,0.5956,0.6005,82359.0,49675.9243
2024-08-26,0.6005,0.6015,0.5797,0.587,161440.0,94957.0857
2024-08-27,0.5876,0.5998,0.5549,0.5674,278708.0,161661.9903
2024-08-28,0.5663,0.5847,0.5565,0.5696,301944.0,172075.282
2024-08-29,0.569,0.5764,0.5577,0.5621,119021.0,67823.8992
2024-08-30,0.5614,0.5677,0.5468,0.5668,138238.0,77115.7701
2024-08-31,0.5668,0.5716,0.5629,0.5661,75014.0,42505.409
2024-09-01,0.5664,0.5666,0.5423,0.5481,91146.0,50579.7498
2024-09-02,0.5476,0.5685,0.5448,0.5672,182747.0,101194.013
2024-09-03,0.5669,0.572,0.5569,0.5571,147140.0,83123.2997
2024-09-04,0.5568,0.5644,0.5338,0.558,147830.0,81691.2292
2024-09-05,0.558,0.559,0.5405,0.5445,89435.0,48870.7075
2024-09-06,0.5446,0.5471,0.5033,0.5209,347442.0,181875.5204
2024-09-07,0.5217,0.5326,0.5196,0.5244,102673.0,53925.5388
2024-09-08,0.5244,0.531,0.5212,0.529,245481.0,129479.6265
2024-09-09,0.5294,0.5647,0.5273,0.539,284699.0,153320.1865
2024-09-10,0.5388,0.5422,0.5327,0.5402,164397.0,88565.89
2024-09-11,0.5405,0.5405,0.5234,0.5351,89758.0,47911.6868
2024-09-12,0.5348,0.5877,0.5336,0.5618,476630.0,266378.9912
2024-09-13,0.5611,0.5743,0.5563,0.5721,205524.0,116700.3744
2024-09-14,0.5718,0.5988,0.5697,0.5959,597829.0,350057.2124
2024-09-15,0.5959,0.5959,0.57,0.5715,175144.0,102246.5121
2024-09-16,0.57,0.5906,0.5605,0.585,245810.0,140480.3794
2024-09-17,0.5868,0.5927,0.5793,0.5845,148561.0,87161.8554
2024-09-18,0.5837,0.585,0.5627,0.5842,235203.0,135965.9474
2024-09-19,0.5837,0.5938,0.581,0.5864,315887.0,185581.217
2024-09-20,0.587,0.5925,0.5767,0.5852,217018.0,126600.4671
2024-09-21,0.5845,0.6121,0.5801,0.5981,325624.0,195163.8134
2024-09-22,0.5977,0.6051,0.5786,0.588,191938.0,113205.7753
2024-09-23,0.5874,0.5955,0.5793,0.585,229822.0,135151.4252
2024-09-24,0.5843,0.5924,0.5815,0.5916,318665.0,186405.4734
2024-09-25,0.5914,0.5951,0.5829,0.5835,100228.0,58848.001
2024-09-26,0.5829,0.5958,0.5736,0.5887,452192.0,265194.8701
2024-09-27,0.5888,0.5967,0.5828,0.5884,472165.0,278286.6537
2024-09-28,0.589,0.6258,0.5861,0.6139,525326.0,320925.3987
2024-09-29,0.6128,0.6638,0.6058,0.6415,634951.0,403750.1864
2024-09-30,0.6419,0.6542,0.6093,0.6118,337122.0,213297.993
2024-10-01,0.611,0.634,0.5773,0.5972,506697.0,306042.4745
2024-10-02,0.5963,0.6064,0.5278,0.5396,1049514.0,593177.0382
2024-10-03,0.5391,0.544,0.5076,0.5218,600193.0,317410.8962
2024-10-04,0.5222,0.5385,0.5155,0.5349,265411.0,139640.918
2024-10-05,0.5351,0.5351,0.5263,0.5293,468589.0,248698.5765
2024-10-06,0.5287,0.5371,0.5284,0.5339,97639.0,51992.6793
2024-10-07,0.5332,0.5455,0.5291,0.5291,334001.0,179912.2355
2024-10-08,0.529,0.536,0.5216,0.5309,497762.0,263537.857
