timestamps,open,high,low,close,volume,amount
2025-08-19 08:00:00,3.0049,3.0131,2.9932,3.0131,1843.5,5534.23681
2025-08-19 09:00:00,3.0149,3.0204,3.0144,3.0172,3806.1,11480.39986
2025-08-19 10:00:00,3.0136,3.0224,3.0121,3.0152,154.2,464.8032
2025-08-19 11:00:00,3.0138,3.0228,3.0062,3.0141,1083.8,3264.36811
2025-08-19 12:00:00,3.016,3.0177,3.0062,3.0145,2027.0,6110.65948
2025-08-19 13:00:00,3.0178,3.0336,2.9874,3.0076,7651.3,23040.21502
2025-08-19 14:00:00,3.0061,3.0067,2.9348,2.9467,18718.5,55418.53627
2025-08-19 15:00:00,2.9436,2.9657,2.93,2.93,44077.6,129806.84749
2025-08-19 16:00:00,2.9346,2.9346,2.9101,2.9126,31513.6,92259.0852
2025-08-19 17:00:00,2.9122,2.9302,2.8989,2.9302,77307.2,225542.33581
2025-08-19 18:00:00,2.93,2.9324,2.8948,2.9062,16509.8,48078.76936
2025-08-19 19:00:00,2.9046,2.9183,2.875,2.875,40365.7,116654.54933
2025-08-19 20:00:00,2.8795,2.9059,2.8745,2.9058,7943.8,22899.56334
2025-08-19 21:00:00,2.9051,2.9063,2.8779,2.8978,8742.9,25298.65015
2025-08-19 22:00:00,2.8949,2.8998,2.8814,2.8974,7383.9,21320.11535
2025-08-19 23:00:00,2.889,2.8928,2.8476,2.8547,72665.1,207831.55056
2025-08-20 00:00:00,2.86,2.8877,2.8599,2.8846,70456.4,201758.45253
2025-08-20 01:00:00,2.8817,2.8909,2.8513,2.8829,3554.2,10215.58238
2025-08-20 02:00:00,2.8754,2.8933,2.8754,2.8856,14236.6,41153.2297
2025-08-20 03:00:00,2.886,2.9001,2.8841,2.8848,4735.6,13692.4149
2025-08-20 04:00:00,2.8901,2.9022,2.8901,2.9006,12074.1,34992.49007
2025-08-20 05:00:00,2.8997,2.9017,2.8909,2.9013,9681.0,28067.97141
2025-08-20 06:00:00,2.8924,2.8945,2.8805,2.8843,1449.1,4182.25905
2025-08-20 07:00:00,2.8911,2.8947,2.8667,2.8667,7121.5,20464.78787
2025-08-20 08:00:00,2.8654,2.9092,2.8651,2.9092,3334.6,9650.40559
2025-08-20 09:00:00,2.9,2.908,2.8882,2.8882,3107.7,9011.59171
2025-08-20 10:00:00,2.8903,2.9036,2.8895,2.8991,5886.2,17038.40778
2025-08-20 11:00:00,2.905,2.905,2.8634,2.8865,9011.9,25836.77732
2025-08-20 12:00:00,2.8882,2.91,2.888,2.8991,1545.1,4479.4261
2025-08-20 13:00:00,2.8885,2.8929,2.8379,2.8435,13757.0,39307.20307
2025-08-20 14:00:00,2.8467,2.8985,2.8217,2.8912,26609.6,76001.69138
2025-08-20 15:00:00,2.8831,2.9318,2.8831,2.905,10268.5,29924.97395
2025-08-20 16:00:00,2.9093,2.9288,2.9018,2.9176,7898.5,23099.83535
2025-08-20 17:00:00,2.9205,2.9559,2.9181,2.9439,25265.5,74138.74397
2025-08-20 18:00:00,2.9385,2.9451,2.9066,2.9234,11834.2,34569.85636
2025-08-20 19:00:00,2.923,2.9905,2.923,2.989,23837.7,70458.02654
2025-08-20 20:00:00,2.9855,2.9855,2.9653,2.9653,40555.0,120481.7264
2025-08-20 21:00:00,2.9716,2.9731,2.954,2.9731,67696.7,200828.95623
2025-08-20 22:00:00,2.971,2.9723,2.9607,2.9705,4034.9,11989.38349
2025-08-20 23:00:00,2.971,2.971,2.9525,2.9525,2044.4,6046.25401
2025-08-21 00:00:00,2.9525,2.9525,2.9373,2.944,51339.9,150948.19884
2025-08-21 01:00:00,2.942,2.9477,2.9287,2.9477,12211.1,35842.70561
2025-08-21 02:00:00,2.9486,2.9548,2.9138,2.9192,55935.3,164846.54621
2025-08-21 03:00:00,2.9288,2.9489,2.9288,2.9298,4151.2,12199.68323
2025-08-21 04:00:00,2.9302,2.9405,2.9199,2.9318,50721.7,148369.50813
2025-08-21 05:00:00,2.9312,2.9321,2.9213,2.9294,1333.6,3900.21204
2025-08-21 06:00:00,2.9211,2.9211,2.9053,2.9114,44981.4,130939.86369
2025-08-21 07:00:00,2.912,2.9138,2.8945,2.9079,2671.9,7756.97516
2025-08-21 08:00:00,2.9064,2.9149,2.9,2.9003,57658.4,167247.92632
2025-08-21 09:00:00,2.8947,2.9054,2.8855,2.8946,8177.3,23610.74036
2025-08-21 10:00:00,2.8955,2.9021,2.8955,2.8994,472.7,1370.25883
2025-08-21 11:00:00,2.9061,2.9162,2.8985,2.9034,4674.4,13601.70036
2025-08-21 12:00:00,2.9007,2.9075,2.8851,2.891,7961.8,23104.54006
2025-08-21 13:00:00,2.8911,2.9179,2.886,2.8974,2061.6,5997.39568
2025-08-21 14:00:00,2.8947,2.9211,2.8822,2.8996,7881.7,22902.58519
2025-08-21 15:00:00,2.8996,2.9022,2.8745,2.8855,6265.5,18103.70401
2025-08-21 16:00:00,2.8817,2.9064,2.8817,2.89,2205.6,6398.27963
2025-08-21 17:00:00,2.8892,2.9059,2.875,2.902,2226.2,6425.62333
2025-08-21 18:00:00,2.9028,2.9175,2.9026,2.9128,50322.9,146309.58673
2025-08-21 19:00:00,2.9145,2.9197,2.8548,2.8548,41343.3,119684.96212
2025-08-21 20:00:00,2.8719,2.8876,2.8634,2.886,12962.0,37255.49779
2025-08-21 21:00:00,2.8717,2.8864,2.8692,2.885,269.4,774.41138
2025-08-21 22:00:00,2.885,2.8865,2.8689,2.8743,1703.2,4900.75373
2025-08-21 23:00:00,2.8708,2.8708,2.8422,2.8524,8254.1,23558.37086
2025-08-22 00:00:00,2.8527,2.8718,2.8516,2.8562,28391.2,81169.72741
2025-08-22 01:00:00,2.8569,2.8621,2.8418,2.8604,14485.2,41365.33618
2025-08-22 02:00:00,2.8604,2.885,2.8568,2.8587,7064.2,20307.47165
2025-08-22 03:00:00,2.8575,2.862,2.825,2.825,10096.5,28669.43937
2025-08-22 04:00:00,2.8317,2.8651,2.8317,2.8587,2964.0,8460.58636
2025-08-22 05:00:00,2.8565,2.8738,2.8565,2.8738,455.2,1304.79223
2025-08-22 06:00:00,2.8648,2.8709,2.8483,2.8545,716.2,2048.31442
2025-08-22 07:00:00,2.8525,2.8719,2.8525,2.8686,1300.4,3725.87905
2025-08-22 08:00:00,2.8639,2.8745,2.8639,2.8701,3033.7,8717.81424
2025-08-22 09:00:00,2.8647,2.8647,2.8524,2.8624,9897.7,28255.71715
2025-08-22 10:00:00,2.8598,2.8598,2.83,2.8304,2043.5,5788.75969
2025-08-22 11:00:00,2.8328,2.8328,2.8058,2.8058,19429.3,54749.23477
2025-08-22 12:00:00,2.8094,2.8173,2.7846,2.8102,28422.4,79518.90344
2025-08-22 13:00:00,2.8102,2.8618,2.805,2.8435,12207.5,34547.18819
2025-08-22 14:00:00,2.8548,3.0382,2.8529,3.0058,217623.8,647714.03576
2025-08-22 15:00:00,3.0197,3.0421,3.0161,3.02,22465.9,68005.06697
2025-08-22 16:00:00,3.018,3.0691,3.018,3.0456,25738.8,78512.36396
2025-08-22 17:00:00,3.047,3.0932,3.047,3.0694,60111.7,184924.50572
2025-08-22 18:00:00,3.0683,3.0771,3.0437,3.0771,41041.5,125299.69423
2025-08-22 19:00:00,3.0771,3.0968,3.0744,3.0744,15082.8,46594.29222
2025-08-22 20:00:00,3.0792,3.0882,3.0751,3.0815,15031.0,46265.62672
2025-08-22 21:00:00,3.0925,3.1,3.0773,3.085,25001.1,77407.09441
2025-08-22 22:00:00,3.0918,3.0929,3.0753,3.0768,3996.4,12327.35707
2025-08-22 23:00:00,3.079,3.0809,3.065,3.0759,20788.2,63765.94564
2025-08-23 00:00:00,3.0759,3.0759,3.0406,3.0406,24108.6,73744.89418
2025-08-23 01:00:00,3.0397,3.0451,3.0104,3.0272,136205.5,413678.53472
2025-08-23 02:00:00,3.0265,3.028,2.97,2.9987,38454.8,115209.25639
2025-08-23 03:00:00,2.9949,3.007,2.9859,2.9921,3379.2,10142.81539
2025-08-23 04:00:00,2.993,3.0333,2.993,3.0314,3464.9,10467.09036
2025-08-23 05:00:00,3.0307,3.0587,3.0262,3.0537,10241.1,31262.19877
2025-08-23 06:00:00,3.0587,3.0647,3.05,3.0647,10512.3,32083.23131
2025-08-23 07:00:00,3.0598,3.0744,3.0556,3.0596,9786.7,30081.09829
2025-08-23 08:00:00,3.0672,3.0672,3.0475,3.0566,6650.2,20287.45461
2025-08-23 09:00:00,3.0463,3.0528,3.0415,3.0466,3121.9,9502.03562
2025-08-23 10:00:00,3.0407,3.0407,3.0315,3.0341,762.8,2315.1261
2025-08-23 11:00:00,3.0352,3.0459,3.034,3.0459,269.3,817.98396
2025-08-23 12:00:00,3.0459,3.0459,3.0349,3.0362,4053.1,12342.2232
2025-08-23 13:00:00,3.0334,3.0334,3.0117,3.0248,4025.0,12139.04776
2025-08-23 14:00:00,3.0134,3.0305,3.0102,3.015,3310.0,9975.796
2025-08-23 15:00:00,3.0206,3.0276,3.0162,3.0202,1274.4,3848.60444
2025-08-23 16:00:00,3.0217,3.0255,3.0121,3.0255,10528.5,31748.16225
2025-08-23 17:00:00,3.0249,3.0292,3.0166,3.0203,6631.0,20030.16075
2025-08-23 18:00:00,3.0213,3.022,3.0174,3.0174,397.8,1200.92161
2025-08-23 19:00:00,3.022,3.03,3.022,3.03,435.7,1319.28574
2025-08-23 20:00:00,3.03,3.0344,3.0247,3.0344,10843.8,32874.15039
2025-08-23 21:00:00,3.0312,3.0343,3.0275,3.0341,2100.3,6364.04908
2025-08-23 22:00:00,3.034,3.0463,3.034,3.0463,5738.9,17431.30693
2025-08-23 23:00:00,3.0475,3.0564,3.0469,3.0485,525.9,1604.39991
2025-08-24 00:00:00,3.0509,3.0665,3.0501,3.058,18135.9,55490.55822
2025-08-24 01:00:00,3.0587,3.0852,3.0474,3.0792,4462.3,13698.54511
2025-08-24 02:00:00,3.0734,3.0803,3.0571,3.0601,6812.3,20922.54349
2025-08-24 03:00:00,3.0579,3.06,3.0486,3.0564,1579.3,4823.12202
2025-08-24 04:00:00,3.0587,3.0595,3.0445,3.05,9255.6,28204.29871
2025-08-24 05:00:00,3.05,3.0516,3.0445,3.0475,107585.8,328093.25111
2025-08-24 06:00:00,3.0475,3.0475,3.0301,3.0339,9436.0,28696.17959
2025-08-24 07:00:00,3.0349,3.0483,3.0349,3.0424,164.5,500.30331
2025-08-24 08:00:00,3.0296,3.0438,3.0296,3.0361,5038.1,15320.72683
2025-08-24 09:00:00,3.0416,3.0416,3.024,3.024,3949.7,11965.67237
2025-08-24 10:00:00,3.0239,3.0263,3.0059,3.0059,4010.9,12083.23175
2025-08-24 11:00:00,3.0114,3.0147,2.9992,3.0092,5929.1,17808.4668
2025-08-24 12:00:00,3.0056,3.0176,3.004,3.0131,1363.9,4108.85887
2025-08-24 13:00:00,3.0179,3.0224,3.0172,3.0208,7805.0,23566.85229
2025-08-24 14:00:00,3.0201,3.0284,3.0118,3.0223,7449.2,22483.78744
2025-08-24 15:00:00,3.0209,3.0382,3.0152,3.0172,831.5,2520.96738
2025-08-24 16:00:00,3.017,3.0346,3.0162,3.0346,2276.2,6883.48307
2025-08-24 17:00:00,3.0311,3.064,3.0311,3.056,22627.7,68824.36596
2025-08-24 18:00:00,3.0481,3.1129,3.0477,3.1098,63863.7,197436.43228
2025-08-24 19:00:00,3.1039,3.1249,2.9992,3.0305,62454.0,191497.48236
2025-08-24 20:00:00,3.0364,3.0382,2.991,3.0254,32768.4,98932.44179
2025-08-24 21:00:00,3.0246,3.0457,3.0118,3.0278,2292.0,6948.24466
2025-08-24 22:00:00,3.0307,3.0347,3.0042,3.0347,2016.3,6084.64852
2025-08-24 23:00:00,3.0313,3.0397,3.0233,3.0238,9622.7,29165.11916
2025-08-25 00:00:00,3.0288,3.0335,2.9739,2.9918,34429.9,103128.48832
2025-08-25 01:00:00,2.9943,3.0244,2.9939,3.0181,11443.3,34370.85957
2025-08-25 02:00:00,3.0167,3.0527,3.0167,3.0481,5521.7,16787.30703
2025-08-25 03:00:00,3.048,3.0508,3.02,3.02,1788.9,5429.7482
2025-08-25 04:00:00,3.0213,3.025,3.0056,3.0075,31894.9,96076.3319
2025-08-25 05:00:00,3.0064,3.0117,2.9939,2.9939,9286.8,27920.43029
2025-08-25 06:00:00,2.9953,2.9953,2.9577,2.9577,18424.0,54752.15236
2025-08-25 07:00:00,2.9572,2.966,2.9333,2.9386,8427.3,24835.94092
2025-08-25 08:00:00,2.9358,2.9526,2.9241,2.949,3912.0,11515.09252
2025-08-25 09:00:00,2.9478,2.9587,2.9387,2.9587,10093.4,29725.08244
2025-08-25 10:00:00,2.9559,2.9559,2.9238,2.9332,3014.6,8850.81236
2025-08-25 11:00:00,2.9376,2.9463,2.9341,2.945,152258.4,447551.2958
2025-08-25 12:00:00,2.9427,2.965,2.94,2.9601,42510.7,125784.42457
2025-08-25 13:00:00,2.9649,2.9687,2.9312,2.9519,72170.3,213595.49536
2025-08-25 14:00:00,2.952,2.9699,2.9497,2.9699,46301.2,137051.50797
2025-08-25 15:00:00,2.97,2.9758,2.9524,2.9524,103932.2,307657.03491
2025-08-25 16:00:00,2.9519,2.9687,2.944,2.955,17439.4,51651.96768
2025-08-25 17:00:00,2.9564,2.9662,2.9413,2.9662,758.8,2239.23339
2025-08-25 18:00:00,2.9664,2.9669,2.9492,2.9617,3164.2,9367.3206
2025-08-25 19:00:00,2.9555,2.9596,2.8866,2.8898,124436.6,363873.91051
